name,overall_rating,potential,national_team,national_rating
E. Erenler,60,65,,
D. Cruz,60,65,,
E. Weeger,60,67,,
K. Krasniqi,60,68,,
J. Gibbons,60,66,,
A. Favaro,60,65,,
Algobia,60,77,,
N. Ferguson,60,75,,
Guo Quanbo,60,70,,
P. Ruiz,60,77,,
L. Croll,60,65,,
F. Çakır,60,67,,
S. Murillo,60,65,,
M. Rauschenberg,60,62,,
V. Burgoa,60,77,,
A. Al Harbi,60,60,,
Liao Bochao,60,60,,
M. Okazaki,60,75,,
T. Makowski,60,73,,
R. Izumi,60,64,,
M. Seidel,60,66,,
G. Abregú,60,70,,
R. Germain,60,66,,
R. Strain,60,68,,
J. Maddox,60,78,,
M. Lund,60,67,,
D. Chávez,60,64,,
R. Miller,60,60,,
V. Drkušić,60,75,,
R. Fulton,60,67,,
P. Posipal,60,60,,
Caio Marcelo,60,71,,
Hu Ruibao,60,68,,
Yang Qipeng,60,60,,
E. Fujishima,60,61,,
A. Racioppi,60,77,,
T. Buhagiar,60,72,,
P. Sussek,60,77,,
Altube,60,80,,
I. Łasicki,60,67,,
San Román,60,71,,
M. Ortíz,60,65,,
H. Nakabayashi,60,60,,
J. Boller,60,77,,
A. Nalic,60,73,,
M. Hausjell,60,73,,
F. Myhre,60,76,,
F. Ugrinic,60,77,,
L. Gibson,60,80,,
L. Martis,60,67,,
E. Durrell,60,60,,
N. Fadiga,60,74,,
E. Zehir,60,71,,
M. Zeidan,60,71,,
K. Bennetts,60,78,,
S. Nigro,60,69,,
K. Lowe,60,60,,
F. Piszczek,60,67,,
Yeun Jong Gyu,60,74,,
Gabriel Brazão,60,78,,
J. Novillo,60,74,,
N. Katterbach,60,83,,
G. Gori,60,75,,
J. Ochoa,60,69,,
M. Chajia,60,70,,
D. Fernández,60,67,,
M. Crowe,60,68,,
A. Nathaniel-George,60,66,,
G. Bakırbaş,60,66,,
Xavi Sintes,60,78,,
D. Becker,60,73,,
T. Pemberton,60,78,,
Yun Ji Hyeok,60,74,,
Y. Zahary,60,71,,
M. Tapias,60,68,,
C. Siya,60,74,,
M. Kouhyar,60,68,,
S. Wilson,60,63,,
R. Frantsen,60,60,,
G. Ivanishvili,60,60,,
N. Mbouhom,60,72,,
Victor Campuzano,60,71,,
A. Hollingen,60,64,,
D. Melichárek,60,60,,
M. Choinière,60,75,,
Y. Smyrnyi,60,74,,
E. Berger,60,67,,
J. Dunleavy,60,60,,
T. Kodama,60,60,,
Daniel Rebollo,60,75,,
B. Gyamfi,60,67,,
Kim Jun Yub,60,60,,
G. Bello,60,80,,
M. Gurski,60,60,,
C. Ilic,60,67,,
N. Antonov,60,66,,
E. Arias,60,65,,
A. Bamba,60,79,,
J. Gulley,60,63,Wellington Phoenix,65
F. Musaev,60,60,,
S. Al Khayri,60,67,,
A. Tsvetkov,60,61,,
T. Kallevåg,60,61,,
N. Keown,60,71,,
O. Drost,60,67,,
L. Sutton,60,68,,
M. Bean,60,60,,
C. Pombo,60,66,,
A. Majrashi,60,72,,
L. Joyce,60,60,,
E. Andersson,60,71,,
U. Mohammed,60,66,,
M. Saito,60,70,,
C. McDermott,60,74,,
L. Salvesen,60,71,,
K. Álvarez,60,68,,
P. Grant,60,67,,
A. Akinola,60,79,,
P. Wiśniewski,60,68,,
S. Fujitani,60,67,,
B. Biabi,60,67,,
Mollejo,60,80,,
J. Qwiberg,60,61,,
S. Smith,60,74,,
H. Mitsumaru,60,64,,
J. Barrett,60,75,,
M. Vano,60,60,,
A. Rodríguez,60,70,,
E. García,60,73,,
S. Otayf,60,60,,
M. Camara,60,76,,
D. Smarsch,60,76,,
A. Al Shammary,60,69,,
P. Monti,59,70,,
K. Hansen,59,72,,
J. Lyden,59,68,,
L. Kryeziu,59,74,,
A. Xhemajli,59,74,,
O. Patrick,59,69,,
K. Fukuda,59,59,,
C. Moya,59,74,,
S. Matthews,59,67,,
Óscar Gil,59,69,,
Joo Hyun Ho,59,68,,
J. Stanic,59,73,,
L. Pfeiffer,59,67,,
C. Hall,59,71,,
N. Mekonnen,59,75,,
G. McEachran,59,81,,
E. Henschel,59,69,,
A. Gamboa,59,72,,
P. Gartler,59,70,,
D. Pender,59,59,,
Gao Jiarun,59,65,,
Moon Jeong In,59,70,,
E. Robson,59,70,,
A. Mitchell,59,67,,
A. Busti,59,77,,
S. Sidler,59,72,,
P. McClean,59,71,,
D. Olsson,59,69,,
A. Sissoko,59,69,,
B. Rojas,59,67,,
O. Mbaizo,59,70,,
B. Chorbadzhiyski,59,69,,
A. Kecskés,59,67,,
L. Gordon,59,76,,
Liu Yang,59,67,,
J. Gies,59,64,,
K. Hoffmann,59,65,,
I. Domínguez,59,76,,
R. Cagnon,59,72,,
C. Wood,59,68,,
J. Al Shammari,59,60,,
T. Miyazaki,59,59,,
Ou Ya,59,59,,
M. Payero,59,76,,
Kim Tae Han,59,66,,
V. Wojtkowiak,59,71,,
J. Córdova,59,68,,
F. Bjørkan,59,67,,
P. Wade,59,76,,
G. Poynton,59,68,,
A. Ikedi,59,72,,
K. Danielak,59,59,,
T. Hadler,59,64,,
P. Mullin,59,64,,
K. Mouanga,59,75,,
J. Stevens,59,74,,
T. Nishi,59,59,,
J. Guevara,59,62,,
Zhang Yi,59,64,,
F. Brorsson,59,69,,
K. Dimitriou,59,75,,
M. Eid,59,64,,
B. McGrath,59,60,,
Y. Andzouana,59,71,,
M. Rudakov,59,68,,
Ding Jie,59,59,,
H. Forster,59,72,,
S. Bengriba,59,59,,
Cui Yongzhe,59,59,,
Ha Sung Min,59,59,,
N. Ralph,59,62,,
A. Greene,59,59,,
Paulo Alves,59,70,,
I. Al Talhi,59,65,,
K. Miazek,59,69,,
M. Ebiye,59,69,,
Chen Zhongliu,59,62,,
O. Valakari,59,74,,
J. Atanasov,59,76,,
K. Huntelaar,59,70,,
R. Hutchinson,59,77,,
M. López,59,59,,
Yoo Ji Ha,59,74,,
A. Ablet,59,59,,
S. Farhan,59,71,,
A. Thapa,59,71,,
D. Adshead,59,79,,
T. Trautner,59,67,,
T. Gallacher,59,77,,
Y. Takaoka,59,66,,
K. Ademi,59,67,,
J. Falkmar,59,60,,
J. Urzúa,59,77,,
A. Jakubiak,59,69,,
L. Cullen,59,74,,
J. Heil,59,66,,
C. Arroyave,59,67,,
J. Doherty,59,70,,
J. Hodgkiss,59,59,,
T. Matthews,59,79,,
J. Flatt,59,65,,
C. Tiéhi,59,70,,
E. Kastrati,59,70,,
K. McFarlane,59,68,,
M. Hoxha,59,72,,
A. Bolger,59,79,,
K. Yajima,59,67,,
Lee Tae Hee,59,59,,
Tellado,59,72,,
H. Evjen,59,71,,
J. Lahne,59,77,,
Song Long,59,59,,
Cao Haiqing,59,62,,
M. Kuchta,59,68,,
V. Oliver,59,60,,
D. Kulikov,59,69,,
M. Rieder,59,74,,
Sun Bo,59,59,,
F. Ourega,59,60,,
R. Tugarev,59,70,,
A. Rizzo,59,78,,
R. Lowry,59,61,,
H. Sandvik,59,61,,
Wang Qiuming,59,60,,
I. Boye,59,67,,
N. Trott,59,73,,
L. Krüger,58,72,,
M. Berisha,58,73,,
A. Amade,58,77,,
I. Meite,58,66,,
M. Guehi,58,78,,
J. Pourtau,58,78,,
Zheng Tao,58,58,,
J. Clarke,58,58,,
T. Reithmeir,58,75,,
N. Hunziker,58,65,,
R. Gondoh,58,65,,
L. Jones,58,65,,
A. Gürleyen,58,75,,
G. Cuomo,58,72,,
C. Mbulu,58,69,,
N. Sambo,58,65,,
D. Cancola,58,68,,
M. Şatin,58,68,,
Park Ji Min,58,74,,
M. Al Subaie,58,66,,
K. Niemczycki,58,73,,
K. Wallace,58,64,,
Vinícius Ferreira,58,68,,
J. Hoekstra,58,69,,
A. Zeka,58,72,,
J. Obregón,58,72,,
J. Muñoz,58,63,,
J. Sands,58,75,,
N. Tsubaki,58,73,,
N. Balongo,58,71,,
J. Albrecht,58,65,,
S. Mauritz-Hansen,58,64,,
A. Canessa,58,73,,
R. Acquah,58,67,,
M. Sprang,58,67,,
A. Ba Saeed,58,61,,
R. Wilmots,58,68,,
J. Herrera,58,65,,
J. Rondeel,58,63,,
F. Pizzicanella,58,66,,
D. Lyon,58,67,,
J. Kelly,58,58,,
J. Marazas,58,71,,
J. Tratt,58,65,,
M. Worthington,58,70,,
J. Þorsteinsson,58,73,,
S. Kjellevold,58,66,,
W. Tchuameni,58,66,,
V. Arveladze,58,64,,
J. Bird,58,66,,
Y. Otto,58,71,,
H. Bos,58,60,,
Y. Bangsow,58,69,,
C. Villalba,58,66,,
M. Schlegel,58,68,,
Li Shenglong,58,60,,
V. Gendrey,58,70,,
L. González,58,68,,
I. Diallo,58,68,,
J. Mahon,58,73,,
B. Chapman,58,70,,
G. Kilama,58,71,,
K. Schlotterbeck,58,67,,
A. Talal,58,68,,
M. Awaji,58,66,,
J. Italiano,58,79,,
J. Rieckmann,58,76,,
M. McKee,58,70,,
S. Hiramatsu,58,61,,
G. Kyrnats,58,68,,
M. Simakan,58,69,,
A. Elyounoussi,58,71,,
K. Ellison,58,58,,
J. Hastie,58,72,,
N. Stendera,58,78,,
E. Gründemann,58,75,,
S. Farelli,58,58,,
E. Pauchet,58,67,,
D. Petersson,58,63,,
M. Meli,58,78,,
M. Trovato,58,73,,
P. Marie,58,63,,
C. Okoroji,58,67,,
Zhang Huachen,58,66,,
Cao Ziheng,58,64,,
K. Cabral,58,72,,
M. Kumbulla,58,74,,
D. Liszka,58,68,,
D. Nasu,58,58,,
L. Nash,58,66,,
Maikel,58,58,,
S. Bose,58,66,,
S. Takahashi,58,65,,
A. Bakir,58,76,,
R. Alm,58,64,,
A. Nadesan,58,62,,
F. Atuahene,58,68,,
M. Pattier,58,66,,
J. Anthony,58,73,,
Du Changjie,58,65,,
T. Maya,58,69,,
M. Radecki,58,59,,
Pablo Cacharrón,58,70,,
T. Abraham,58,76,,
Cao Yongjing,58,68,,
C. Mafoumbi,58,62,,
J. Lozano,58,63,,
W. Ebane,58,59,,
D. Kelly,58,68,,
J. Schau,58,68,,
G. Smith,58,64,,
T. Ostrak,58,76,,
Y. Maeda,58,58,,
A. Nilsson,58,60,,
S. Steijn,58,72,,
F. Quiroz,58,68,,
D. Ogawa,58,58,,
Han Feng,58,58,,
M. Weigandt,58,77,,
L. Schneider,58,76,,
A. Muskwe,58,70,,
M. De Smet,58,73,,
S. Hostikka,58,67,,
J. Zea,58,74,,
A. Kaltoft,58,70,,
P. Sokołowski,58,64,,
M. Gillam,58,68,,
A. Curry,58,73,,
E. Kaja,58,67,,
A. Scheidler,58,68,,
S. Woods,57,71,,
D. Tejeda,57,67,,
F. Godoy,57,79,,
T. Golden,57,70,,
M. Guel,57,76,,
D. Liessens,57,69,,
Kim Chan,57,78,,
M. Häuser,57,72,,
R. Paparelli,57,64,,
Wang Guoming,57,58,,
J. Quiñones,57,67,,
E. Botheim,57,76,,
M. Platt,57,67,,
M. Borgogno,57,71,,
M. Al Mutairi,57,73,,
Y. Meneses,57,79,,
G. Dorsey,57,67,,
K. Lara,57,72,,
M. Ranmark,57,65,,
K. Lynch,57,60,,
F. Navarro,57,78,,
B. Stephens,57,66,,
J. Doyle,57,65,,
F. Mosquera,57,66,,
J. De Smet,57,68,,
Son Mu Bin,57,72,,
C. Mosquera,57,63,,
H. Spratt,57,70,,
J. Barrett,57,72,,
K. Stanek,57,68,,
Y. Zabaleta,57,66,,
M. Napa,57,74,,
J. Guttau,57,73,,
G. Oakley,57,65,,
N. Djouahra,57,76,,
M. Al Haeti,57,66,,
L. Brüggemeier,57,66,,
J. Chávez,57,67,,
R. Henry,57,57,,
M. Trejo,57,70,,
K. Odilon,57,79,,
Álvaro Gómez,57,68,,
J. Hope,57,65,,
K. Sugimori,57,70,,
G. Comerford,57,61,,
G. Dowling,57,73,,
R. Wintle,57,67,,
T. Dele-Bashiru,57,76,,
P. Boevink,57,70,,
S. Grønning,57,66,,
J. Brimmer,57,67,,
J. Eastwood,57,65,,
I. Tapia,57,72,,
M. Al Mutlaq,57,69,,
Sun Jungang,57,63,,
L. John,57,63,,
D. Kinumbe,57,73,,
L. Martínez,57,71,,
D. Tomii,57,57,,
J. Brauti,57,70,,
Y. Toure,57,80,,
E. Sørhøy,57,61,,
J. Hallam,57,70,,
Morro,57,74,,
M. Młyński,57,72,,
S. Al Najrani,57,64,,
N. Kirk,57,71,,
N. Simon,57,73,,
O. Solbakken,57,67,,
R. de Vos,57,66,,
Lee Gyu Seong,57,62,,
Xiang Hantian,57,63,,
N. Kariri,57,70,,
B. Liddle,57,70,,
P. Kalambayi,57,72,,
M. Al Sufyani,57,73,,
T. Blackmon,57,67,,
C. Yates,57,68,,
F. Zorba,57,66,,
D. Conroy,57,62,,
R. Allassani,57,66,,
B. Hussein,57,78,,
K. Digol,57,68,,
T. Ryan,57,70,,
A. Molina,57,71,,
A. Bradley,57,72,,
A. Al Riou,57,61,,
E. González,57,67,,
D. Mercado,57,68,,
M. Lema,57,75,,
L. Kharabadze,57,77,,
J. Lankester,57,76,,
K. Oldenburger,57,64,,
D. Gillela,57,73,,
T. Sibbick,57,69,,
F. Langsdorf,57,64,,
Kim Woo Suk,57,68,,
A. Montero,57,71,,
H. Douglas,57,61,,
J. Truque,57,73,,
A. Hindi,57,70,,
E. Mahmutovic,57,67,,
Cong Zhen,57,65,,
D. Spence,57,77,,
F. Kaya,57,73,,
H. Donovan,57,69,,
B. Rivera,57,73,,
C. Polo,57,71,,
A. Thiam,57,67,,
S. Ben Amar,57,69,,
T. Abrahams,57,69,,
G. Gbellé,57,60,,
Xu Yougang,57,66,,
G. Kımışır,56,65,,
R. Caicedo,56,62,,
O. Yilmaz,56,64,,
H. Isted,56,67,,
D. Devine,56,65,,
A. Mikkelsen,56,71,,
K. McAllister,56,72,,
S. Amin,56,64,,
N. Harker,56,73,,
J. Khmiri,56,66,,
C. Lang,56,73,,
R. Akbari,56,71,,
J. Bedeau,56,73,,
M. Hauptmann,56,72,,
M. Layer,56,71,,
Cheng Changcheng,56,56,,
K. Dybowski,56,65,,
O. Aragón,56,66,,
M. Sandoval,56,64,,
K. Ogi,56,56,,
J. Rees,56,58,,
T. Duffus,56,64,,
D. Dressel,56,70,,
M. Kilman,56,70,,
A. Cvetkovic,56,63,,
Y. Oki,56,72,,
Marc Vito,56,66,,
H. Bellman,56,71,,
J. Hove,56,74,,
R. Feely,56,67,,
E. Le Fée,56,73,,
R. Cassidy,56,76,,
L. Brand,56,68,,
J. Kronig,56,79,,
Yang Ke,56,56,,
Peng Rui,56,60,,
Y. Avcılar,56,70,,
P. Bird,56,71,,
I. Cameron,56,74,,
S. Farsak,56,65,,
D. Ingham,56,67,,
G. Rogers,56,70,,
E. Maulana Vikri,56,74,,
C. Cooper,56,64,,
H. Finndell,56,73,,
G. Tsitaishvili,56,76,,
C. Ellis,56,66,,
D. Pierias,56,70,,
O. Al Suhaymi,56,58,,
A. Eichhorn,56,66,,
A. Jakupović,56,72,,
K. Fatkic,56,65,,
M. Stajduhar,56,70,,
Lee Joon Hee,56,61,,
N. Al Dajani,56,67,,
E. Chilufya,56,75,,
I. Ünal,56,69,,
R. Ito,56,64,,
R. Motegi,56,64,,
I. Pearce,56,68,,
J. Lalrinzuala,56,64,,
A. Hudu,56,69,,
Wei Zhen,56,65,,
K. Osako,56,68,,
W. Fitzgerald,56,66,,
A. Kuruniyan,56,70,,
Zhu Xiaogang,56,56,,
A. Alonzo,56,73,,
L. Connell,56,76,,
A. Nurudeen,56,69,,
C. Kelly,56,68,,
D. Pakulski,56,65,,
Y. Takeda,56,56,,
T. Isherwood,56,71,,
D. Hayes,56,62,,
L. Archimède,56,68,,
C. Lokoli-Ngoy,56,69,,
J. McGarry,56,65,,
W. Le Pogam,56,58,,
M. Miño,56,70,,
M. Minder,56,61,,
H. Al Shaie,55,66,,
C. Lindley,55,69,,
A. Fisher,55,65,,
M. Bower,55,67,,
M. McCrudden,55,56,,
N. Suksum,55,65,,
B. Garcés,55,59,,
B. Kirdar,55,78,,
M. Al Thani,55,65,,
S. Junqua,55,66,,
W. Hanssen,55,62,,
T. Umeda,55,73,,
Yan Zhiyu,55,58,,
M. Roseth,55,72,,
T. Issa,55,62,,
D. Arias,55,68,,
Y. Nishimura,55,64,,
D. Błanik,55,64,,
J. García,55,80,,
Y. Taki,55,70,,
T. Amos,55,68,,
C. Moya,55,68,,
J. Kayode,55,70,,
M. Matic,55,65,,
A. Payne,55,71,,
A. Doğan,55,71,,
I. Sekigawa,55,74,,
B. Niezgoda,55,70,,
A. Baun,55,64,,
K. Dawes,55,72,,
D. Enomoto,55,62,,
B. Lyons,55,67,,
H. Offia,55,66,,
R. Parkes,55,55,,
W. Scott,55,68,,
C. Gregory,55,74,,
D. Leverock,55,57,,
M. Welch-Hayes,55,63,,
K. Yamaguchi,55,61,,
D. Marzino,55,64,,
I. Hutchinson,55,68,,
E. Küc,55,65,,
L. Gelzleichter,55,72,,
N. Ochojski,55,67,,
Xiao Yufeng,55,61,,
E. Crona,55,73,,
A. Nelson,55,69,,
R. Piscitelli,55,59,,
J. Arias,55,66,,
L. Davies,55,67,,
S. Diallo,55,73,,
A. Hodžić,55,68,,
M. Leiva,55,70,,
F. Bahi,55,68,,
M. Attiyah,55,57,,
A. Takagi,55,67,,
Liu Yue,55,64,,
T. Mourdoukoutas,55,69,,
R. Al Najjar,55,62,,
K. Taimi,55,56,,
D. Pipe,55,55,,
J. Vahtera,55,64,,
S. Boyd,55,68,,
K. Tshiend,55,75,,
R. Clampin,55,71,,
J. Dakir,55,65,,
H. Pickering,55,70,,
M. Olsen,55,66,,
M. Augdal,55,61,,
K. Thiesson Kristensen,55,69,,
A. Bustamante,55,65,,
N. Bai,55,68,,
D. Ojo,55,69,,
H. Palacios,55,76,,
L. Ward,55,69,,
Ruan,55,60,,
F. Botiseriu,55,71,,
S. Svenlén,55,65,,
Kim Sun Woo,55,61,,
K. Björklund,55,69,,
A. Sow,55,70,,
C. Giuliani,54,71,,
C. Hulme,54,64,,
C. Scott,54,71,,
A. Long,54,66,,
S. Barone,54,66,,
L. Colville,54,64,,
R. German,54,69,,
J. McCracken,54,75,,
D. Smith,54,73,,
Gianluca Zanette,54,64,,
D. Dillon,54,69,,
O. Sims,54,74,,
J. Mora,54,64,,
A. Al Shammari,54,56,,
Li Rui,54,61,,
D. Castro,54,60,,
J. Kerr,54,66,,
K. Viveros,54,75,,
L. Russe,54,66,,
S. Gucciardo,54,66,,
T. Garratt,54,65,,
E. McGinty,54,68,,
T. Kircher,54,66,,
T. Lillevold Johnsen,54,64,,
J. Zapata,54,57,,
Andre Shinyashiki,54,67,,
L. Alarcón,54,73,,
K. Yoshio,54,61,,
R. Gutiérrez,54,64,,
B. Syla,54,60,,
I. Núñez,54,68,,
C. Salomón,54,67,,
Kang Yun Koo,54,55,,
I. Angking,54,74,,
M. Zennaro,54,72,,
R. Källman,54,68,,
D. Ryndak,54,54,,
F. Murray,54,74,,
S. Awaka,54,58,,
O. Klitten,54,70,,
S. Walker,54,76,,
G. Singh,54,63,,
A. Zabani,54,64,,
D. Lalhlimpuia,54,67,,
Shen Shuaishuai,54,74,,
H. Constant,54,68,,
G. Morandi,54,74,,
B. Morgado,54,68,,
Yu Zhen,54,63,,
J. Isaksen,54,67,,
M. Onada,54,60,,
M. Saavedra,54,69,,
H. Keto,54,67,,
W. Alarcón,54,67,,
M. Nishimoto,54,59,,
V. Fazliu,54,62,,
A. Hartridge,54,68,,
Feng Gang,54,59,,
Cho Jae Wan,54,59,,
L. Nutz,54,67,,
J. Storevik,54,66,,
Liu Boyang,54,61,,
A. Tymiński,54,65,,
D. Łuczak,54,62,,
P. Kekeris,54,71,,
J. Lindgren,54,67,,
M. Nuhanovic,53,65,,
V. Rai,53,67,,
T. Hamer,53,73,,
Zheng Yiming,53,62,,
T. Hama,53,59,,
L. Talbro,53,70,,
M. Schlosser,53,62,,
O. Breistøl,53,66,,
E. Löder,53,62,,
Y. Kurihara,53,53,,
J. González,53,61,,
Xu Jiamin,53,58,,
M. Tomizawa,53,57,,
R. Gorman,53,58,,
F. Barragán,53,69,,
J. Pukaj,53,70,,
K. Harada,53,68,,
V. Vesiaho,53,66,,
N. Suman,53,69,,
Y. Kaiser,53,62,,
Felipe Ferreyra,53,67,,
M. Matsumoto,53,59,,
W. Jääskeläinen,53,70,,
R. Miura,53,56,,
T. Herbots,53,73,,
A. Pedersen,53,59,,
Ji Xiaoxuan,53,57,,
L. Pelletier,53,68,,
E. Jacobsen,53,63,,
S. Hausner,53,67,,
M. Christiansen,53,63,,
B. Manosalva,53,62,,
M. Wenssens,53,74,,
J. Smylie,53,65,,
G. Vannucchi,53,60,,
Choi Beom Kyung,53,64,,
Wen Zhixiang,53,56,,
Y. Mustafa,53,65,,
R. Stewart,53,61,,
K. Yamada,53,63,,
S. Warde,53,65,,
J. McCombe,53,53,,
Wen Junjie,53,64,,
S. Brynn,53,74,,
A. Bates,53,72,,
L. Sedlak,53,66,,
J. Larsen,53,68,,
J. Pia,53,72,,
A. Yusuf,53,69,,
R. Ogle,53,64,,
S. Dalby,53,73,,
David da Silva,53,53,,
J. Widell Zetterström,53,61,,
J. Giraldo,53,64,,
W. Długosz,53,63,,
L. Jephcott,53,69,,
E. Idem,53,68,,
D. Makoma,53,64,,
S. Lusiusz,53,65,,
H. Araki,53,60,,
L. Nygren,53,65,,
D. Gibbons,53,62,,
L. Brook,53,75,,
F. Bustamante,53,67,,
K. Broda,53,71,,
J. Brady,53,65,,
J. Doyle-Hayes,53,70,,
C. Moore,52,70,,
Zhen'ao Wang,52,66,,
Dong Honglin,52,59,,
D. Bedoya,52,56,,
S. Mogi,52,61,,
A. Kräuchi,52,63,,
H. Saruta,52,67,,
A. McCann,52,72,,
G. Tolino,52,70,,
Ning Weichen,52,61,,
W. Kaczorowski,52,75,,
T. Bair,52,71,,
H. Abdulmajeed,52,62,,
T. Yasui,52,65,,
Jiang Shenglong,52,72,,
T. Koch,52,73,,
M. Boney,52,64,,
Zhang Lingfeng,52,61,,
D. Arnold,52,67,,
E. Damgaard,52,62,,
Chen Zhechao,52,60,,
G. Severinsen,52,69,,
H. Matsumoto,52,67,,
S. Brewer Jr.,52,73,,
A. Al Moghir,52,60,,
J. Riquelme,52,72,,
J. Delianov,52,71,,
Jeong Hee Woong,52,60,,
C. Walsh-O'Loghlen,52,70,,
I. Coulibaly,52,69,,
Zheng Zhiming,52,64,,
N. Ziswiler,52,68,,
H. Ræstad,51,61,,
C. Romaña,51,70,,
G. Iannucci,51,68,,
C. Metcalfe,51,68,,
Deng Yubiao,51,60,,
J. Walker,52,72,,
R. Al Najjar,52,61,,
S. Melvin,52,59,,
O. Pettersson,52,69,,
B. Galach,52,64,,
G. Rosario,52,67,,
R. Hauge,52,67,,
F. Norman,52,67,,
S. Al Zaqati,52,67,,
D. Thøgersen,52,66,,
J. Lindstrøm,52,72,,
J. Svenningsen,51,57,,
Abdugheni Abduhamit,51,61,,
A. Kargbo,51,70,,
O. Lindqvist,51,65,,
M. Hermansen,51,65,,
Ali Shirmemet,51,61,,
C. Pavéz,51,64,,
N. Al Harbi,51,58,,
M. Hołownia,51,60,,
M. Grabowski,51,63,,
M. Mansour,51,54,,
Ding Bowei,51,59,,
C. Royo,51,66,,
N. Nurmi,51,71,,
Zhang Hengyuan,51,64,,
S. Allardice,51,63,,
A. Ousou,50,67,,
S. Al Wehimid,50,67,,
B. O'Gorman,50,69,,
Han Zilong,50,53,,
J. Cavallo,50,66,,
C. Addai,51,61,,
J. Haak,51,74,,
W. Møller,51,64,,
O. Dale,51,67,,
I. Tarasov,51,71,,
J. Ellis,51,67,,
J. Sims,51,66,,
Zhu Zhengyu,51,57,,
I. Richards,51,66,,
Cao Sheng,51,57,,
J. Tupper,51,65,,
J. Olofsson,50,64,,
J. Mortensen,50,71,,
S. Bækgaard,50,65,,
B. Horton,50,67,,
S. Al Saeed,50,67,,
G. Garner,50,66,,
Sun Qibin,50,52,,
M. Sutton,50,71,,
E. Abulu,50,67,,
Liu Yi,50,58,,
E. Dahlqvist,50,64,,
J. García,50,62,,
J. Goff,50,69,,
T. Gundelund,50,70,,
J. Rothmann,50,70,,
Zhang Gong,50,52,,
Liu Bin,49,66,,
Yin Congyao,49,59,,
J. Crilly,49,67,,
J. Bartosiński,49,67,,
N. Morahan,49,68,,
F. Ranocchia,49,72,,
Liu Yaoxin,49,57,,
T. O'Connor,49,59,,
F. Sinclair-Smith,49,67,,
C. Jones,49,57,,
J. Greatorex,49,66,,
N. Stephan,49,67,,
T. Maloney,49,66,,
Zhu Jiayi,49,62,,
G. Hollywood,49,67,,
O. Finney,49,63,,
N. Fuentes,47,64,,
S. Squire,47,58,,
J. Norville-Williams,47,62,,
L. Watkins,47,63,,
A. Kaltner,47,61,,
L. Collins,47,62,,
C. Ehlich,47,59,,
Zhang Yufeng,47,59,,
Gao Yuqin,47,66,,
D. Walker-Rice,48,67,,
E. Tweed,48,59,,
K. Pilkington,48,48,,
Y. Góez,48,65,,
C. Maher,48,66,,
M. Hurst,48,58,,
E. Minogue,48,66,,
G. Nugent,47,67,,
J. Tauriainen,47,67,,
N. Christoffersson,47,63,,
D. Walsh,47,68,,
L. Jones,47,62,,
L. Offord,47,59,,
J. Ruíz,47,55,,
O. Antman,47,68,,
I. Häggman,47,65,,
S. Griffin,47,67,,
J. Milli,47,65,,
K. Catalán,47,62,,
J. Williams,48,64,,
L. Wahlstedt,48,65,,
T. Hillman,48,57,,
N. Yahaya,48,65,,
M. Baldisimo,48,70,,
E. Clarke,48,59,,
C. Hawkins,48,65,,
Wu Lei,48,58,,
H. Norris,48,66,,
M. Frøkjær-Jensen,48,63,,
Wang Xin,48,58,,
L. Singh,48,70,,
J. Livesey,48,71,,
C. Prior,48,66,,
D. Szczepaniak,48,60,,
T. Lawal,48,69,,
T. Clare,48,68,,
I. Roldán,48,61,,
M. Djabi,48,62,,
Wang Shilong,48,69,,
A. De Angelis,48,62,,
J. Devine,48,60,,
D. Collins,48,61,,
A. Rafferty,48,66,,
Liu Guobo,48,66,,
M. Roberts,48,66,,
J. Yabur,49,62,,
C. Levingston,49,59,,
D. Mackay,49,56,,
S. Väänänen,49,71,,
S. Higashi,49,66,,
R. Griffiths,49,66,,
M. Brzozowski,49,60,,
M. Harsman,49,65,,
Park Han Keun,49,55,,
C. Harkin,49,58,,
W. Henry,49,63,,
H. Dotson,49,56,,
Li Yuyang,49,61,,
M. Pollock,49,72,,
Cui Lin,49,59,,
Chen Yajun,49,67,,
K. Hawley,49,59,,
Zhang Hui,49,57,,
M. Skjellerup,49,58,,
F. Iron,49,62,,
T. Nakamura,49,65,,
S. Spasov,49,74,,
D. Norman Jr.,49,63,,
G. Figliuzzi,49,69,,
C. Herrera,49,72,,
A. Parkes,49,62,,
B. Buckley,49,61,,
Xie Xiaofan,49,61,,
N. Kemgni-Kuemo,49,64,,
T. Callens,50,65,,
R. Law,50,68,,
K. Moesgaard,50,61,,
F. Ibrahim,50,60,,
M. Al Qaydhi,50,58,,
R. Pasquel,50,60,,
S. Schimandl,50,66,,
G. Tegue,50,68,,
O. Ollikainen,50,64,,
J. Kelly,50,66,,
A. Osmanoski,50,66,,
A. Iontton,50,71,,
M. Kikkenborg,50,63,,
T. Johnson,50,66,,
V. Smedsrud,50,64,,
H. Bernat,50,71,,
J. Lynch,50,65,,
J. Hipper,50,59,,
M. Bodys,50,67,,
L. Ivanovic,50,69,,
B. Arapovic,50,69,,
M. Connor,50,63,,
J. Granlund,50,65,,
S. Dawood,50,62,,
E. Bilen,50,69,,
G. Barry,50,61,,
P. Paya,50,67,,
M. Schantl,50,67,,
L. Humphries,50,61,,
R. Shibamoto,50,69,,
M. Ichimaru,50,64,,
