home_team,away_team,home_score,home_penalty,away_score,away_penalty,Year,Round,Winner
Korea Republic,Bolivia,0,NA,0,NA,1994,Group stage,Tie
Romania,Switzerland,1,NA,4,NA,1994,Group stage,Switzerland
United States,Colombia,2,NA,1,NA,1994,Group stage,United States
Argentina,Greece,4,NA,0,NA,1994,Group stage,Argentina
Germany,Spain,1,NA,1,NA,1994,Group stage,Tie
Nigeria,Bulgaria,3,NA,0,NA,1994,Group stage,Nigeria
Brazil,Russia,2,NA,0,NA,1994,Group stage,Brazil
Netherlands,Saudi Arabia,2,NA,1,NA,1994,Group stage,Netherlands
Belgium,Morocco,1,NA,0,NA,1994,Group stage,Belgium
Norway,Mexico,1,NA,0,NA,1994,Group stage,Norway
Cameroon,Sweden,2,NA,2,NA,1994,Group stage,Tie
United States,Switzerland,1,NA,1,NA,1994,Group stage,Tie
Italy,Republic of Ireland,0,NA,1,NA,1994,Group stage,Republic of Ireland
Colombia,Romania,1,NA,3,NA,1994,Group stage,Romania
Germany,Bolivia,1,NA,0,NA,1994,Group stage,Germany
Spain,Korea Republic,2,NA,2,NA,1994,Group stage,Tie
West Germany,Argentina,1,NA,0,NA,1990,Final,West Germany
Italy,England,2,NA,1,NA,1990,Third-place match,Italy
West Germany,England,1,4,1,3,1990,Semi-finals,Tie
Italy,Argentina,1,3,1,4,1990,Semi-finals,Tie
West Germany,Czechoslovakia,1,NA,0,NA,1990,Quarter-finals,West Germany
England,Cameroon,3,NA,2,NA,1990,Quarter-finals,England
Yugoslavia,Argentina,0,2,0,3,1990,Quarter-finals,Tie
Italy,Republic of Ireland,1,NA,0,NA,1990,Quarter-finals,Italy
Spain,Yugoslavia,1,NA,2,NA,1990,Round of 16,Yugoslavia
England,Belgium,1,NA,0,NA,1990,Round of 16,England
Republic of Ireland,Romania,0,5,0,4,1990,Round of 16,Tie
Italy,Uruguay,2,NA,0,NA,1990,Round of 16,Italy
Brazil,Argentina,0,NA,1,NA,1990,Round of 16,Argentina
West Germany,Netherlands,2,NA,1,NA,1990,Round of 16,West Germany
Cameroon,Colombia,2,NA,1,NA,1990,Round of 16,Cameroon
Czechoslovakia,Costa Rica,4,NA,1,NA,1990,Round of 16,Czechoslovakia
Belgium,Spain,1,NA,2,NA,1990,Group stage,Spain
Korea Republic,Uruguay,0,NA,1,NA,1990,Group stage,Uruguay
Republic of Ireland,Netherlands,1,NA,1,NA,1990,Group stage,Tie
England,Egypt,1,NA,0,NA,1990,Group stage,England
Sweden,Costa Rica,1,NA,2,NA,1990,Group stage,Costa Rica
Brazil,Scotland,1,NA,0,NA,1990,Group stage,Brazil
West Germany,Colombia,1,NA,1,NA,1990,Group stage,Tie
Yugoslavia,United Arab Emirates,4,NA,1,NA,1990,Group stage,Yugoslavia
Austria,United States,2,NA,1,NA,1990,Group stage,Austria
Italy,Czechoslovakia,2,NA,0,NA,1990,Group stage,Italy
Argentina,Romania,1,NA,1,NA,1990,Group stage,Tie
Cameroon,Soviet Union,0,NA,4,NA,1990,Group stage,Soviet Union
Republic of Ireland,Egypt,0,NA,0,NA,1990,Group stage,Tie
Belgium,Uruguay,3,NA,1,NA,1990,Group stage,Belgium
Korea Republic,Spain,1,NA,3,NA,1990,Group stage,Spain
Brazil,Costa Rica,1,NA,0,NA,1990,Group stage,Brazil
England,Netherlands,0,NA,0,NA,1990,Group stage,Tie
Sweden,Scotland,1,NA,2,NA,1990,Group stage,Scotland
Austria,Czechoslovakia,0,NA,1,NA,1990,Group stage,Czechoslovakia
West Germany,United Arab Emirates,5,NA,1,NA,1990,Group stage,West Germany
Yugoslavia,Colombia,1,NA,0,NA,1990,Group stage,Yugoslavia
Cameroon,Romania,2,NA,1,NA,1990,Group stage,Cameroon
Italy,United States,1,NA,0,NA,1990,Group stage,Italy
Uruguay,Spain,0,NA,0,NA,1990,Group stage,Tie
Argentina,Soviet Union,2,NA,0,NA,1990,Group stage,Argentina
Belgium,Korea Republic,2,NA,0,NA,1990,Group stage,Belgium
Netherlands,Egypt,1,NA,1,NA,1990,Group stage,Tie
Costa Rica,Scotland,1,NA,0,NA,1990,Group stage,Costa Rica
England,Republic of Ireland,1,NA,1,NA,1990,Group stage,Tie
United States,Czechoslovakia,1,NA,5,NA,1990,Group stage,Czechoslovakia
West Germany,Yugoslavia,4,NA,1,NA,1990,Group stage,West Germany
Brazil,Sweden,2,NA,1,NA,1990,Group stage,Brazil
United Arab Emirates,Colombia,0,NA,2,NA,1990,Group stage,Colombia
Soviet Union,Romania,0,NA,2,NA,1990,Group stage,Romania
Italy,Austria,1,NA,0,NA,1990,Group stage,Italy
Argentina,Cameroon,0,NA,1,NA,1990,Group stage,Cameroon
Argentina,West Germany,3,NA,2,NA,1986,Final,Argentina
France,Belgium,4,NA,2,NA,1986,Third-place match,France
France,West Germany,0,NA,2,NA,1986,Semi-finals,West Germany
Argentina,Belgium,2,NA,0,NA,1986,Semi-finals,Argentina
Argentina,England,2,NA,1,NA,1986,Quarter-finals,Argentina
Spain,Belgium,1,4,1,5,1986,Quarter-finals,Tie
Brazil,France,1,3,1,4,1986,Quarter-finals,Tie
West Germany,Mexico,0,4,0,1,1986,Quarter-finals,Tie
England,Paraguay,3,NA,0,NA,1986,Round of 16,England
Denmark,Spain,1,NA,5,NA,1986,Round of 16,Spain
Italy,France,0,NA,2,NA,1986,Round of 16,France
Morocco,West Germany,0,NA,1,NA,1986,Round of 16,West Germany
Brazil,Poland,4,NA,0,NA,1986,Round of 16,Brazil
Argentina,Uruguay,1,NA,0,NA,1986,Round of 16,Argentina
Mexico,Bulgaria,2,NA,0,NA,1986,Round of 16,Mexico
Soviet Union,Belgium,3,NA,4,NA,1986,Round of 16,Belgium
Scotland,Uruguay,0,NA,0,NA,1986,Group stage,Tie
Denmark,West Germany,2,NA,0,NA,1986,Group stage,Denmark
Algeria,Spain,0,NA,3,NA,1986,Group stage,Spain
Northern Ireland,Brazil,0,NA,3,NA,1986,Group stage,Brazil
Paraguay,Belgium,2,NA,2,NA,1986,Group stage,Tie
Iraq,Mexico,0,NA,1,NA,1986,Group stage,Mexico
England,Poland,3,NA,0,NA,1986,Group stage,England
Portugal,Morocco,1,NA,3,NA,1986,Group stage,Morocco
Argentina,Bulgaria,2,NA,0,NA,1986,Group stage,Argentina
Korea Republic,Italy,2,NA,3,NA,1986,Group stage,Italy
Soviet Union,Canada,2,NA,0,NA,1986,Group stage,Soviet Union
Hungary,France,0,NA,3,NA,1986,Group stage,France
West Germany,Scotland,2,NA,1,NA,1986,Group stage,West Germany
Iraq,Belgium,1,NA,2,NA,1986,Group stage,Belgium
Denmark,Uruguay,6,NA,1,NA,1986,Group stage,Denmark
Mexico,Paraguay,1,NA,1,NA,1986,Group stage,Tie
Northern Ireland,Spain,1,NA,2,NA,1986,Group stage,Spain
Poland,Portugal,1,NA,0,NA,1986,Group stage,Poland
Brazil,Algeria,1,NA,0,NA,1986,Group stage,Brazil
Hungary,Canada,2,NA,0,NA,1986,Group stage,Hungary
England,Morocco,0,NA,0,NA,1986,Group stage,Tie
Italy,Argentina,1,NA,1,NA,1986,Group stage,Tie
France,Soviet Union,1,NA,1,NA,1986,Group stage,Tie
Korea Republic,Bulgaria,1,NA,1,NA,1986,Group stage,Tie
Paraguay,Iraq,1,NA,0,NA,1986,Group stage,Paraguay
Uruguay,West Germany,1,NA,1,NA,1986,Group stage,Tie
Scotland,Denmark,0,NA,1,NA,1986,Group stage,Denmark
Belgium,Mexico,1,NA,2,NA,1986,Group stage,Mexico
Algeria,Northern Ireland,1,NA,1,NA,1986,Group stage,Tie
Portugal,England,1,NA,0,NA,1986,Group stage,Portugal
Soviet Union,Hungary,6,NA,0,NA,1986,Group stage,Soviet Union
Argentina,Korea Republic,3,NA,1,NA,1986,Group stage,Argentina
Morocco,Poland,0,NA,0,NA,1986,Group stage,Tie
Spain,Brazil,0,NA,1,NA,1986,Group stage,Brazil
Canada,France,0,NA,1,NA,1986,Group stage,France
Bulgaria,Italy,1,NA,1,NA,1986,Group stage,Tie
Italy,West Germany,3,NA,1,NA,1982,Final,Italy
Poland,France,3,NA,2,NA,1982,Third-place match,Poland
Poland,Italy,0,NA,2,NA,1982,Semi-finals,Italy
West Germany,France,3,5,3,4,1982,Semi-finals,Tie
Italy,Brazil,3,NA,2,NA,1982,Second group stage,Italy
Spain,England,0,NA,0,NA,1982,Second group stage,Tie
France,Northern Ireland,4,NA,1,NA,1982,Second group stage,France
Poland,Soviet Union,0,NA,0,NA,1982,Second group stage,Tie
Argentina,Brazil,1,NA,3,NA,1982,Second group stage,Brazil
West Germany,Spain,2,NA,1,NA,1982,Second group stage,West Germany
Austria,Northern Ireland,2,NA,2,NA,1982,Second group stage,Tie
Belgium,Soviet Union,0,NA,1,NA,1982,Second group stage,Soviet Union
Italy,Argentina,2,NA,1,NA,1982,Second group stage,Italy
West Germany,England,0,NA,0,NA,1982,Second group stage,Tie
Austria,France,0,NA,1,NA,1982,Second group stage,France
Poland,Belgium,3,NA,0,NA,1982,Second group stage,Poland
England,Kuwait,1,NA,0,NA,1982,First group stage,England
West Germany,Austria,1,NA,0,NA,1982,First group stage,West Germany
Northern Ireland,Spain,1,NA,0,NA,1982,First group stage,Northern Ireland
France,Czechoslovakia,1,NA,1,NA,1982,First group stage,Tie
Algeria,Chile,3,NA,2,NA,1982,First group stage,Algeria
Honduras,Yugoslavia,0,NA,1,NA,1982,First group stage,Yugoslavia
Italy,Cameroon,1,NA,1,NA,1982,First group stage,Tie
Argentina,El Salvador,2,NA,0,NA,1982,First group stage,Argentina
Brazil,New Zealand,4,NA,0,NA,1982,First group stage,Brazil
Poland,Peru,5,NA,1,NA,1982,First group stage,Poland
Belgium,Hungary,1,NA,1,NA,1982,First group stage,Tie
Soviet Union,Scotland,2,NA,2,NA,1982,First group stage,Tie
Algeria,Austria,0,NA,2,NA,1982,First group stage,Austria
France,Kuwait,4,NA,1,NA,1982,First group stage,France
Honduras,Northern Ireland,1,NA,1,NA,1982,First group stage,Tie
West Germany,Chile,4,NA,1,NA,1982,First group stage,West Germany
England,Czechoslovakia,2,NA,0,NA,1982,First group stage,England
Spain,Yugoslavia,2,NA,1,NA,1982,First group stage,Spain
Poland,Cameroon,0,NA,0,NA,1982,First group stage,Tie
Soviet Union,New Zealand,3,NA,0,NA,1982,First group stage,Soviet Union
Belgium,El Salvador,1,NA,0,NA,1982,First group stage,Belgium
Italy,Peru,1,NA,1,NA,1982,First group stage,Tie
Brazil,Scotland,4,NA,1,NA,1982,First group stage,Brazil
Argentina,Hungary,4,NA,1,NA,1982,First group stage,Argentina
Chile,Austria,0,NA,1,NA,1982,First group stage,Austria
Czechoslovakia,Kuwait,1,NA,1,NA,1982,First group stage,Tie
Yugoslavia,Northern Ireland,0,NA,0,NA,1982,First group stage,Tie
England,France,3,NA,1,NA,1982,First group stage,England
West Germany,Algeria,1,NA,2,NA,1982,First group stage,Algeria
Spain,Honduras,1,NA,1,NA,1982,First group stage,Tie
Peru,Cameroon,0,NA,0,NA,1982,First group stage,Tie
Hungary,El Salvador,10,NA,1,NA,1982,First group stage,Hungary
Scotland,New Zealand,5,NA,2,NA,1982,First group stage,Scotland
Italy,Poland,0,NA,0,NA,1982,First group stage,Tie
Brazil,Soviet Union,2,NA,1,NA,1982,First group stage,Brazil
Argentina,Belgium,0,NA,1,NA,1982,First group stage,Belgium
Argentina,Netherlands,3,NA,1,NA,1978,Final,Argentina
Brazil,Italy,2,NA,1,NA,1978,Third-place match,Brazil
Netherlands,Italy,2,NA,1,NA,1978,Second round,Netherlands
Austria,West Germany,3,NA,2,NA,1978,Second round,Austria
Brazil,Poland,3,NA,1,NA,1978,Second round,Brazil
Argentina,Peru,6,NA,0,NA,1978,Second round,Argentina
Poland,Peru,1,NA,0,NA,1978,Second round,Poland
West Germany,Netherlands,2,NA,2,NA,1978,Second round,Tie
Italy,Austria,1,NA,0,NA,1978,Second round,Italy
Argentina,Brazil,0,NA,0,NA,1978,Second round,Tie
Netherlands,Austria,5,NA,1,NA,1978,Second round,Netherlands
West Germany,Italy,0,NA,0,NA,1978,Second round,Tie
Brazil,Peru,3,NA,0,NA,1978,Second round,Brazil
Argentina,Poland,2,NA,0,NA,1978,Second round,Argentina
Brazil,Austria,1,NA,0,NA,1978,First round,Brazil
Spain,Sweden,1,NA,0,NA,1978,First round,Spain
Peru,IR Iran,4,NA,1,NA,1978,First round,Peru
Scotland,Netherlands,3,NA,2,NA,1978,First round,Scotland
France,Hungary,3,NA,1,NA,1978,First round,France
Poland,Mexico,3,NA,1,NA,1978,First round,Poland
West Germany,Tunisia,0,NA,0,NA,1978,First round,Tie
Italy,Argentina,1,NA,0,NA,1978,First round,Italy
Austria,Sweden,1,NA,0,NA,1978,First round,Austria
Brazil,Spain,0,NA,0,NA,1978,First round,Tie
Netherlands,Peru,0,NA,0,NA,1978,First round,Tie
Scotland,IR Iran,1,NA,1,NA,1978,First round,Tie
Italy,Hungary,3,NA,1,NA,1978,First round,Italy
West Germany,Mexico,6,NA,0,NA,1978,First round,West Germany
Poland,Tunisia,1,NA,0,NA,1978,First round,Poland
Argentina,France,2,NA,1,NA,1978,First round,Argentina
Sweden,Brazil,1,NA,1,NA,1978,First round,Tie
Austria,Spain,2,NA,1,NA,1978,First round,Austria
Peru,Scotland,3,NA,1,NA,1978,First round,Peru
Netherlands,IR Iran,3,NA,0,NA,1978,First round,Netherlands
Italy,France,2,NA,1,NA,1978,First round,Italy
Tunisia,Mexico,3,NA,1,NA,1978,First round,Tunisia
Argentina,Hungary,2,NA,1,NA,1978,First round,Argentina
West Germany,Poland,0,NA,0,NA,1978,First round,Tie
Netherlands,West Germany,1,NA,2,NA,1974,Final,West Germany
Brazil,Poland,0,NA,1,NA,1974,Third-place match,Poland
Poland,West Germany,0,NA,1,NA,1974,Second round,West Germany
Netherlands,Brazil,2,NA,0,NA,1974,Second round,Netherlands
Argentina,Germany DR,1,NA,1,NA,1974,Second round,Tie
Sweden,Yugoslavia,2,NA,1,NA,1974,Second round,Sweden
Poland,Yugoslavia,2,NA,1,NA,1974,Second round,Poland
Argentina,Brazil,1,NA,2,NA,1974,Second round,Brazil
Germany DR,Netherlands,0,NA,2,NA,1974,Second round,Netherlands
West Germany,Sweden,4,NA,2,NA,1974,Second round,West Germany
Yugoslavia,West Germany,0,NA,2,NA,1974,Second round,West Germany
Brazil,Germany DR,1,NA,0,NA,1974,Second round,Brazil
Sweden,Poland,0,NA,1,NA,1974,Second round,Poland
Netherlands,Argentina,4,NA,0,NA,1974,Second round,Netherlands
Bulgaria,Netherlands,1,NA,4,NA,1974,First round,Netherlands
Poland,Italy,2,NA,1,NA,1974,First round,Poland
Sweden,Uruguay,3,NA,0,NA,1974,First round,Sweden
Argentina,Haiti,4,NA,1,NA,1974,First round,Argentina
Scotland,Yugoslavia,1,NA,1,NA,1974,First round,Tie
Australia,Chile,0,NA,0,NA,1974,First round,Tie
Zaire,Brazil,0,NA,3,NA,1974,First round,Brazil
Germany DR,West Germany,1,NA,0,NA,1974,First round,Germany DR
Haiti,Poland,0,NA,7,NA,1974,First round,Poland
Bulgaria,Uruguay,1,NA,1,NA,1974,First round,Tie
Netherlands,Sweden,0,NA,0,NA,1974,First round,Tie
Argentina,Italy,1,NA,1,NA,1974,First round,Tie
Australia,West Germany,0,NA,3,NA,1974,First round,West Germany
Yugoslavia,Zaire,9,NA,0,NA,1974,First round,Yugoslavia
Chile,Germany DR,1,NA,1,NA,1974,First round,Tie
Scotland,Brazil,0,NA,0,NA,1974,First round,Tie
Uruguay,Netherlands,0,NA,2,NA,1974,First round,Netherlands
Sweden,Bulgaria,0,NA,0,NA,1974,First round,Tie
Italy,Haiti,3,NA,1,NA,1974,First round,Italy
Poland,Argentina,3,NA,2,NA,1974,First round,Poland
West Germany,Chile,1,NA,0,NA,1974,First round,West Germany
Germany DR,Australia,2,NA,0,NA,1974,First round,Germany DR
Zaire,Scotland,0,NA,2,NA,1974,First round,Scotland
Brazil,Yugoslavia,0,NA,0,NA,1974,First round,Tie
Brazil,Italy,4,NA,1,NA,1970,Final,Brazil
West Germany,Uruguay,1,NA,0,NA,1970,Third-place match,West Germany
Italy,West Germany,4,NA,3,NA,1970,Semi-finals,Italy
Brazil,Uruguay,3,NA,1,NA,1970,Semi-finals,Brazil
Brazil,Peru,4,NA,2,NA,1970,Quarter-finals,Brazil
Italy,Mexico,4,NA,1,NA,1970,Quarter-finals,Italy
Uruguay,Soviet Union,1,NA,0,NA,1970,Quarter-finals,Uruguay
West Germany,England,3,NA,2,NA,1970,Quarter-finals,West Germany
Mexico,Belgium,1,NA,0,NA,1970,Group stage,Mexico
Italy,Israel,0,NA,0,NA,1970,Group stage,Tie
Bulgaria,Morocco,1,NA,1,NA,1970,Group stage,Tie
England,Czechoslovakia,1,NA,0,NA,1970,Group stage,England
West Germany,Peru,3,NA,1,NA,1970,Group stage,West Germany
Brazil,Romania,3,NA,2,NA,1970,Group stage,Brazil
Sweden,Uruguay,1,NA,0,NA,1970,Group stage,Sweden
Soviet Union,El Salvador,2,NA,0,NA,1970,Group stage,Soviet Union
Mexico,El Salvador,4,NA,0,NA,1970,Group stage,Mexico
Brazil,England,1,NA,0,NA,1970,Group stage,Brazil
West Germany,Bulgaria,5,NA,2,NA,1970,Group stage,West Germany
Sweden,Israel,1,NA,1,NA,1970,Group stage,Tie
Romania,Czechoslovakia,2,NA,1,NA,1970,Group stage,Romania
Uruguay,Italy,0,NA,0,NA,1970,Group stage,Tie
Soviet Union,Belgium,4,NA,1,NA,1970,Group stage,Soviet Union
Peru,Morocco,3,NA,0,NA,1970,Group stage,Peru
Belgium,El Salvador,3,NA,0,NA,1970,Group stage,Belgium
Brazil,Czechoslovakia,4,NA,1,NA,1970,Group stage,Brazil
Italy,Sweden,1,NA,0,NA,1970,Group stage,Italy
West Germany,Morocco,2,NA,1,NA,1970,Group stage,West Germany
England,Romania,1,NA,0,NA,1970,Group stage,England
Peru,Bulgaria,3,NA,2,NA,1970,Group stage,Peru
Uruguay,Israel,2,NA,0,NA,1970,Group stage,Uruguay
Mexico,Soviet Union,0,NA,0,NA,1970,Group stage,Tie
England,West Germany,4,NA,2,NA,1966,Final,England
Portugal,Soviet Union,2,NA,1,NA,1966,Third-place match,Portugal
England,Portugal,2,NA,1,NA,1966,Semi-finals,England
West Germany,Soviet Union,2,NA,1,NA,1966,Semi-finals,West Germany
Portugal,Korea DPR,5,NA,3,NA,1966,Quarter-finals,Portugal
England,Argentina,1,NA,0,NA,1966,Quarter-finals,England
Soviet Union,Hungary,2,NA,1,NA,1966,Quarter-finals,Soviet Union
West Germany,Uruguay,4,NA,0,NA,1966,Quarter-finals,West Germany
England,France,2,NA,0,NA,1966,Group stage,England
Hungary,Bulgaria,3,NA,1,NA,1966,Group stage,Hungary
West Germany,Spain,2,NA,1,NA,1966,Group stage,West Germany
Soviet Union,Chile,2,NA,1,NA,1966,Group stage,Soviet Union
Uruguay,Mexico,0,NA,0,NA,1966,Group stage,Tie
Argentina,Switzerland,2,NA,0,NA,1966,Group stage,Argentina
Portugal,Brazil,3,NA,1,NA,1966,Group stage,Portugal
Korea DPR,Italy,1,NA,0,NA,1966,Group stage,Korea DPR
West Germany,Argentina,0,NA,0,NA,1966,Group stage,Tie
Soviet Union,Italy,1,NA,0,NA,1966,Group stage,Soviet Union
Portugal,Bulgaria,3,NA,0,NA,1966,Group stage,Portugal
England,Mexico,2,NA,0,NA,1966,Group stage,England
Spain,Switzerland,2,NA,1,NA,1966,Group stage,Spain
Uruguay,France,2,NA,1,NA,1966,Group stage,Uruguay
Hungary,Brazil,3,NA,1,NA,1966,Group stage,Hungary
Korea DPR,Chile,1,NA,1,NA,1966,Group stage,Tie
Argentina,Spain,2,NA,1,NA,1966,Group stage,Argentina
France,Mexico,1,NA,1,NA,1966,Group stage,Tie
Italy,Chile,2,NA,0,NA,1966,Group stage,Italy
Portugal,Hungary,3,NA,1,NA,1966,Group stage,Portugal
Brazil,Bulgaria,2,NA,0,NA,1966,Group stage,Brazil
Soviet Union,Korea DPR,3,NA,0,NA,1966,Group stage,Soviet Union
West Germany,Switzerland,5,NA,0,NA,1966,Group stage,West Germany
England,Uruguay,0,NA,0,NA,1966,Group stage,Tie
Brazil,Czechoslovakia,3,NA,1,NA,1962,Final,Brazil
Chile,Yugoslavia,1,NA,0,NA,1962,Third-place match,Chile
Brazil,Chile,4,NA,2,NA,1962,Semi-finals,Brazil
Czechoslovakia,Yugoslavia,3,NA,1,NA,1962,Semi-finals,Czechoslovakia
Chile,Soviet Union,2,NA,1,NA,1962,Quarter-finals,Chile
Brazil,England,3,NA,1,NA,1962,Quarter-finals,Brazil
Czechoslovakia,Hungary,1,NA,0,NA,1962,Quarter-finals,Czechoslovakia
Yugoslavia,West Germany,1,NA,0,NA,1962,Quarter-finals,Yugoslavia
England,Bulgaria,0,NA,0,NA,1962,Group stage,Tie
Mexico,Czechoslovakia,3,NA,1,NA,1962,Group stage,Mexico
Italy,Switzerland,3,NA,0,NA,1962,Group stage,Italy
Yugoslavia,Colombia,5,NA,0,NA,1962,Group stage,Yugoslavia
West Germany,Chile,2,NA,0,NA,1962,Group stage,West Germany
Soviet Union,Uruguay,2,NA,1,NA,1962,Group stage,Soviet Union
Hungary,Argentina,0,NA,0,NA,1962,Group stage,Tie
Brazil,Spain,2,NA,1,NA,1962,Group stage,Brazil
Spain,Mexico,1,NA,0,NA,1962,Group stage,Spain
Soviet Union,Colombia,4,NA,4,NA,1962,Group stage,Tie
Hungary,Bulgaria,6,NA,1,NA,1962,Group stage,Hungary
West Germany,Switzerland,2,NA,1,NA,1962,Group stage,West Germany
Chile,Italy,2,NA,0,NA,1962,Group stage,Chile
Brazil,Czechoslovakia,0,NA,0,NA,1962,Group stage,Tie
England,Argentina,3,NA,1,NA,1962,Group stage,England
Yugoslavia,Uruguay,3,NA,1,NA,1962,Group stage,Yugoslavia
West Germany,Italy,0,NA,0,NA,1962,Group stage,Tie
Hungary,England,2,NA,1,NA,1962,Group stage,Hungary
Czechoslovakia,Spain,1,NA,0,NA,1962,Group stage,Czechoslovakia
Soviet Union,Yugoslavia,2,NA,0,NA,1962,Group stage,Soviet Union
Chile,Switzerland,3,NA,1,NA,1962,Group stage,Chile
Uruguay,Colombia,2,NA,1,NA,1962,Group stage,Uruguay
Brazil,Mexico,2,NA,0,NA,1962,Group stage,Brazil
Argentina,Bulgaria,1,NA,0,NA,1962,Group stage,Argentina
Brazil,Sweden,5,NA,2,NA,1958,Final,Brazil
France,West Germany,6,NA,3,NA,1958,Third-place match,France
Sweden,West Germany,3,NA,1,NA,1958,Semi-finals,Sweden
Brazil,France,5,NA,2,NA,1958,Semi-finals,Brazil
France,Northern Ireland,4,NA,0,NA,1958,Quarter-finals,France
West Germany,Yugoslavia,1,NA,0,NA,1958,Quarter-finals,West Germany
Brazil,Wales,1,NA,0,NA,1958,Quarter-finals,Brazil
Sweden,Soviet Union,2,NA,0,NA,1958,Quarter-finals,Sweden
Northern Ireland,Czechoslovakia,2,NA,1,NA,1958,Group stage play-off,Northern Ireland
Wales,Hungary,2,NA,1,NA,1958,Group stage play-off,Wales
Soviet Union,England,1,NA,0,NA,1958,Group stage play-off,Soviet Union
Sweden,Wales,0,NA,0,NA,1958,Group stage,Tie
Paraguay,Yugoslavia,3,NA,3,NA,1958,Group stage,Tie
West Germany,Northern Ireland,2,NA,2,NA,1958,Group stage,Tie
Czechoslovakia,Argentina,6,NA,1,NA,1958,Group stage,Czechoslovakia
England,Austria,2,NA,2,NA,1958,Group stage,Tie
Brazil,Soviet Union,2,NA,0,NA,1958,Group stage,Brazil
Hungary,Mexico,4,NA,0,NA,1958,Group stage,Hungary
France,Scotland,2,NA,1,NA,1958,Group stage,France
Sweden,Hungary,2,NA,1,NA,1958,Group stage,Sweden
Soviet Union,Austria,2,NA,0,NA,1958,Group stage,Soviet Union
West Germany,Czechoslovakia,2,NA,2,NA,1958,Group stage,Tie
Argentina,Northern Ireland,3,NA,1,NA,1958,Group stage,Argentina
Yugoslavia,France,3,NA,2,NA,1958,Group stage,Yugoslavia
Paraguay,Scotland,3,NA,2,NA,1958,Group stage,Paraguay
Brazil,England,0,NA,0,NA,1958,Group stage,Tie
Mexico,Wales,1,NA,1,NA,1958,Group stage,Tie
Sweden,Mexico,3,NA,0,NA,1958,Group stage,Sweden
Northern Ireland,Czechoslovakia,1,NA,0,NA,1958,Group stage,Northern Ireland
Hungary,Wales,1,NA,1,NA,1958,Group stage,Tie
Yugoslavia,Scotland,1,NA,1,NA,1958,Group stage,Tie
Brazil,Austria,3,NA,0,NA,1958,Group stage,Brazil
Soviet Union,England,2,NA,2,NA,1958,Group stage,Tie
France,Paraguay,7,NA,3,NA,1958,Group stage,France
Argentina,West Germany,1,NA,3,NA,1958,Group stage,West Germany
Germany,Hungary,3,NA,2,NA,1954,Final,Germany
Austria,Uruguay,3,NA,1,NA,1954,Third-place match,Austria
Hungary,Uruguay,4,NA,2,NA,1954,Semi-finals,Hungary
Germany,Austria,6,NA,1,NA,1954,Semi-finals,Germany
Germany,Yugoslavia,2,NA,0,NA,1954,Quarter-finals,Germany
Hungary,Brazil,4,NA,2,NA,1954,Quarter-finals,Hungary
Uruguay,England,4,NA,2,NA,1954,Quarter-finals,Uruguay
Switzerland,Austria,5,NA,7,NA,1954,Quarter-finals,Austria
Germany,Turkey,7,NA,2,NA,1954,Group stage play-off,Germany
Switzerland,Italy,4,NA,1,NA,1954,Group stage play-off,Switzerland
Hungary,Germany,8,NA,3,NA,1954,Group stage,Hungary
Turkey,Korea Republic,7,NA,0,NA,1954,Group stage,Turkey
Italy,Belgium,4,NA,1,NA,1954,Group stage,Italy
Switzerland,England,0,NA,2,NA,1954,Group stage,England
Uruguay,Scotland,7,NA,0,NA,1954,Group stage,Uruguay
Brazil,Yugoslavia,1,NA,1,NA,1954,Group stage,Tie
Austria,Czechoslovakia,5,NA,0,NA,1954,Group stage,Austria
France,Mexico,3,NA,2,NA,1954,Group stage,France
Switzerland,Italy,2,NA,1,NA,1954,Group stage,Switzerland
Hungary,Korea Republic,9,NA,0,NA,1954,Group stage,Hungary
Germany,Turkey,4,NA,1,NA,1954,Group stage,Germany
England,Belgium,4,NA,4,NA,1954,Group stage,Tie
Uruguay,Czechoslovakia,2,NA,0,NA,1954,Group stage,Uruguay
Yugoslavia,France,1,NA,0,NA,1954,Group stage,Yugoslavia
Brazil,Mexico,5,NA,0,NA,1954,Group stage,Brazil
Austria,Scotland,1,NA,0,NA,1954,Group stage,Austria
Sweden,Spain,3,NA,1,NA,1950,Final stage,Sweden
Uruguay,Brazil,2,NA,1,NA,1950,Final stage,Uruguay
Brazil,Spain,6,NA,1,NA,1950,Final stage,Brazil
Uruguay,Sweden,3,NA,2,NA,1950,Final stage,Uruguay
Brazil,Sweden,7,NA,1,NA,1950,Final stage,Brazil
Uruguay,Spain,2,NA,2,NA,1950,Final stage,Tie
Chile,United States,5,NA,2,NA,1950,Group stage,Chile
Italy,Paraguay,2,NA,0,NA,1950,Group stage,Italy
Uruguay,Bolivia,8,NA,0,NA,1950,Group stage,Uruguay
Spain,England,1,NA,0,NA,1950,Group stage,Spain
Switzerland,Mexico,2,NA,1,NA,1950,Group stage,Switzerland
Brazil,Yugoslavia,2,NA,0,NA,1950,Group stage,Brazil
Spain,Chile,2,NA,0,NA,1950,Group stage,Spain
United States,England,1,NA,0,NA,1950,Group stage,United States
Sweden,Paraguay,2,NA,2,NA,1950,Group stage,Tie
Brazil,Switzerland,2,NA,2,NA,1950,Group stage,Tie
Yugoslavia,Mexico,4,NA,1,NA,1950,Group stage,Yugoslavia
Sweden,Italy,3,NA,2,NA,1950,Group stage,Sweden
